"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Kocho","CN","Beshbaliq","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","89.1","42.917","TGN7001479","87.583336","43.799999","adlgaz-1-1634637-0d","170","173","P000","tmcZCAm0800_024a"
"Lapchuk","CN","Kocho","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","89.699997","42.733334","ADL1619266","89.1","42.917","TGN7001479","87","170","P000","tmcZCAm0800_025a"
"Lapchuk","CN","Hami","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","89.699997","42.733334","ADL1619266","93.449997","42.799999","adlgaz-1-1608790-15","87","527","P000","tmcZCAm0800_026a"
"Anxi","CN","Hami","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","95.800003","40.5","adlgaz-1-1643915-7b","93.449997","42.799999","adlgaz-1-1608790-15","180","527","P000","tmcZCAm0800_027a"
"Anxi","CN","Guazhou","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","95.800003","40.5","adlgaz-1-1643915-7b","95.76667","40.400002","ADL1607809","180","58","P000","tmcZCAm0800_028a"
"Ganzhou","CN","Guazhou","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","100.449997","38.933334","ADL1645287","95.76667","40.400002","ADL1607809","182","58","P000","tmcZCAm0800_029a"
"Ganzhou","CN","Liangzhou","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","100.449997","38.933334","ADL1645287","102.800003","37.966667","adlgaz-1-1616671-6e","182","91","P000","tmcZCAm0800_030a"
"Iron Blade Fortress","CN","Liangzhou","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","100.783333","36.349998","ADL1624772","102.800003","37.966667","adlgaz-1-1616671-6e","151","91","P000","tmcZCAm0800_031a"
"Lanzhou","CN","Liangzhou","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","103.792221","36.056389","adlgaz-1-1615874-2a","102.800003","37.966667","adlgaz-1-1616671-6e","85","91","P000","tmcZCAm0800_032a"
"Anxi","CN","Dunhuang","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","95.800003","40.5","adlgaz-1-1643915-7b","94.683334","40.166668","ADL1604560","180","50","P000","tmcZCAm0800_033a"
"Anxi","CN","Lop Nor","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","95.800003","40.5","adlgaz-1-1643915-7b","89.75","40.533333","ADL1618975","180","92","P000","tmcZCAm0800_034a"
"Dunhuang","CN","Lop Nor","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","94.683334","40.166668","ADL1604560","89.75","40.533333","ADL1618975","50","92","P000","tmcZCAm0800_035a"
"Miran","CN","Lop Nor","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","88.833336","39.25","ADL1621529","89.75","40.533333","ADL1618975","103","92","P000","tmcZCAm0800_036a"
"loc08-tmc010512","CN","Lop Nor","CN","?Korla","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","86.150002","41.733334","adlgaz-1-1615350-09","89.75","40.533333","ADL1618975","88","92","P000","tmcZCAm0800_037a"
"loc08-tmc010512","CN","Kucha","CN","?Korla","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","86.150002","41.733334","adlgaz-1-1615350-09","82.900002","41.716667","ADL1615547","88","89","P000","tmcZCAm0800_038a"
"Aksu","CN","Kucha","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","80.25","41.150002","ADL1594892","82.900002","41.716667","ADL1615547","5","89","P000","tmcZCAm0800_039a"
"Aksu","CN","Kashgar","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","80.25","41.150002","ADL1594892","76.033","39.483","TGN","5","77","P000","tmcZCAm0800_040a"
"Aksu","CN","loc09-tmc010512","KG","?Przeval'sk","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","80.25","41.150002","ADL1594892","78.4","42.483","TGN","5","129","P000","tmcZCAm0800_041a"
"Beshbaliq","CN","loc09-tmc010512","KG","?Przeval'sk","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","87.583336","43.799999","adlgaz-1-1634637-0d","78.4","42.483","TGN","173","129","P000","tmcZCAm0800_042a"
"Chach","UZ","loc09-tmc010512","KG","?Przeval'sk","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","69.3","41.333","Rigby 1984","78.4","42.483","TGN","162","129","P000","tmcZCAm0800_043a"
"Chach","UZ","Khiva","UZ","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","69.3","41.333","Rigby 1984","60.366669","41.400002","ADL4229363","162","80","P000","tmcZCAm0800_044a"
"Chach","UZ","loc10-tmc010512","UZ","?Gulistan","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","69.3","41.333","Rigby 1984","69.050003","40.799999","ADL4228545","162","546","P000","tmcZCAm0800_045a"
"Kashgar","CN","loc10-tmc010512","UZ","?Gulistan","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","76.033","39.483","TGN","69.050003","40.799999","ADL4228545","77","546","P000","tmcZCAm0800_046a"
"Samarkand","UZ","loc10-tmc010512","UZ","?Gulistan","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","66.95","39.667","TGN7012290","69.050003","40.799999","ADL4228545","141","546","P000","tmcZCAm0800_047a"
"Kashgar","CN","Yangi-Hissar","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","76.033","39.483","TGN","76.150002","38.933334","ADL1642808","77","1016","P000","tmcZCAm0800_048a"
"Samarkand","UZ","Merv","TM","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","66.95","39.667","TGN7012290","62.166668","37.616669","ADL4125737","141","620","P000","tmcZCAm0800_049a"
"Yarkand","CN","Tashkurgan","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","77.267","38.45","TGN7002000","75.23333","37.783333","adlgaz-1-1633245-3a","149","164","P000","tmcZCAm0800_050a"
"loc11-tmc010512","AF/CN","Tashkurgan","CN","?Wakhjir Pass","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","74.48333","37.083332","ADL1028842","75.23333","37.783333","adlgaz-1-1633245-3a","1075","164","P000","tmcZCAm0800_051a"
"loc11-tmc010512","AF/CN","Balkh","AF","?Wakhjir Pass","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","74.48333","37.083332","ADL1028842","66.9","36.75","TGN","1075","22","P000","tmcZCAm0800_052a"
"loc12-tmc010512","CN","Tashkurgan","CN","?Khunjerab Pass","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","75.449997","36.866669","adlgaz-1-3251380-1a ","75.23333","37.783333","adlgaz-1-1633245-3a","82","164","P000","tmcZCAm0800_053a"
"loc12-tmc010512","CN","loc07-tmc010512","CN","?Khunjerab Pass;?Gilgit","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","75.449997","36.866669","adlgaz-1-3251380-1a ","74.300003","35.916668","ADL3245412","82","57","P000","tmcZCAm0800_054a"
"Yarkand","CN","Khotan","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","77.267","38.45","TGN7002000","79.9166","37.1166","Rigby 1984","149","68","P000","tmcZCAm0800_055a"
"Charklick","CN","Khotan","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","88","39.033333","ADL1626883","79.9166","37.1166","Rigby 1984","139","68","P000","tmcZCAm0800_056a"
"Charklick","CN","Miran","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","88","39.033333","ADL1626883","88.833336","39.25","ADL1621529","139","103","P000","tmcZCAm0800_057a"
"Kocho","CN","loc08-tmc010512","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","89.1","42.917","TGN7001479","86.150002","41.733334","adlgaz-1-1615350-09","170","88","P000","tmcZCAm0800_058a"
"Yarkand","CN","Yangi-Hissar","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","77.267","38.45","TGN7002000","76.150002","38.933334","ADL1642808","149","1016","P000","tmcZCAm0800_059a"
