"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Agra","IN","Ahmadabad","IN","nkn","nkn","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1550","1710","QC3","Farooque 1977:56-57","78.01667","27.183332","ADL2410050","72.667","23.05","TGN7001494","556","576","P000","tmcINm1550_001a"
"Agra","IN","Allahabad","IN","nkn","nkn","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1550","1710","QC3","Farooque 1977:56-57","78.01667","27.183332","ADL2410050","81.849998","25.450001","ADL2410312","556","507","P000","tmcINm1550_002a"
"Agra","IN","Bayana","IN","nkn","nkn","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1550","1710","QC2","Farooque 1977:220-221","78.01667","27.183332","ADL2410050","77.3","26.917","TGN1074705","556","806","P000","tmcINm1550_003a"
"Agra","IN","Delhi","IN","nkn","nkn","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1550","1710","QC3","Farooque 1977:56-57","78.01667","27.183332","ADL2410050","77.217","28.667","TGN7001535","556","814","P000","tmcINm1550_004a"
"Agra","IN","Dholpur","IN","nkn","nkn","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1550","1710","QC2","Farooque 1977:220-221","78.01667","27.183332","ADL2410050","77.9","26.7","www.calle.com","556","815","P000","tmcINm1550_005a"
"Agra","IN","Mathura","IN","nkn","nkn","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1550","1710","QC2","Farooque 1977:216-217","78.01667","27.183332","ADL2410050","77.7","27.5","TGN7001569","556","824","P000","tmcINm1550_006a"
"Agra","IN","Sikri","IN","nkn","nkn","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1550","1710","QC2","Farooque 1977:220-221","78.01667","27.183332","ADL2410050","77.65","27.1","TGN1075269","556","832","P000","tmcINm1550_007a"
"Ahmadabad","IN","Cambay","IN","nkn","nkn","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1550","1710","QC2","Farooque 1977:220-221","72.667","23.05","TGN7001494","72.65","22.317","TGN7001525","576","811","P000","tmcINm1550_008a"
"Ahmadabad","IN","Mehsana","IN","nkn","nkn","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1550","1710","QC2","Farooque 1977:220-221","72.667","23.05","TGN7001494","72.4","23.6","TGN1076219","576","825","P000","tmcINm1550_009a"
"Ahmadabad","IN","Surat","IN","nkn","nkn","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1550","1710","QC3","Farooque 1977:56-57","72.667","23.05","TGN7001494","72.833","21.167","TGN7001592","576","835","P000","tmcINm1550_010a"
"Ahmadabad","IN","Tatta","PK","nkn","nkn","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1550","1710","QC3","Farooque 1977:56-57","72.667","23.05","TGN7001494","67.967","24.733","TGN1083827","576","836","P000","tmcINm1550_011a"
"Ahmadabad","IN","Udaipur","IN","nkn","nkn","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1550","1710","QC2","Farooque 1977:220-221","72.667","23.05","TGN7001494","73.783","24.6","TGN1077218","576","838","P000","tmcINm1550_012a"
"Ahmadnagar","IN","Bijapur","IN","nkn","nkn","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1550","1710","QC3","Farooque 1977:56-57","74.8","19.133","TGN7001492","75.8","16.783","TGN7001686","578","808","P000","tmcINm1550_013a"
"Ahmadnagar","IN","Burhanpur","IN","nkn","nkn","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1550","1710","QC3","Farooque 1977:56-57","74.8","19.133","TGN7001492","76.233","21.3","TGN1074891","578","810","P000","tmcINm1550_014a"
