"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Damghan","IR","Neyshabur","IR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","54.349167","36.171112","ADL2448648","58.817","36.217","ADL2474013","44","111","P000","tmcZMEm1300_099a"
"Neyshabur","IR","Mashhad","IR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","58.817","36.217","ADL2474013","59.59861","36.305","ADL2470118","111","98","P000","tmcZMEm1300_100a"
"Mashhad","IR","Tabas","IR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","59.59861","36.305","ADL2470118","56.9225","33.5883","www.fallingrain.com","98","2406","P000","tmcZMEm1300_101a"
"Tabas","IR","Yazd","IR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","56.9225","33.5883","www.fallingrain.com","54.3675","31.897223","ADL2490899","2406","70","P000","tmcZMEm1300_102a"
"Yazd","IR","Nayin","IR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","54.3675","31.897223","ADL2490899","53.0906","32.8619","www.fallingrain.com","70","2404","P000","tmcZMEm1300_103a"
"Nayin","IR","Ardestan","IR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","53.0906","32.8619","www.fallingrain.com","52.375","33.3725","www.fallingrain.com","2404","2090","P000","tmcZMEm1300_104a"
"Ardestan","IR","Kashan","IR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","52.375","33.3725","www.fallingrain.com","51.447498","33.983612","ADL2464220","2090","668","P000","tmcZMEm1300_105a"
"Mashhad","IR","Birjand","IR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","59.59861","36.305","ADL2470118","59.2144","32.8739","www.fallingrain.com","98","2402","P000","tmcZMEm1300_106a"
"Birjand","IR","Zahedan","IR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","59.2144","32.8739","www.fallingrain.com","60.87278","29.497778","ADL2491178","2402","665","P000","tmcZMEm1300_107a"
"Zahedan","IR","Bam","IR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","60.87278","29.497778","ADL2491178","58.361942","29.107779","ADL2442779","665","664","P000","tmcZMEm1300_108a"
"Bam","IR","Neyriz","IR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","58.361942","29.107779","ADL2442779","54.3264","29.1986","www.fallingrain.com","664","2403","P000","tmcZMEm1300_109a"
"Neyriz","IR","Shiraz","IR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","54.3264","29.1986","www.fallingrain.com","52.538612","29.615","ADL2485555","2403","642","P000","tmcZMEm1300_110a"
"Bam","IR","Jask","IR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","58.361942","29.107779","ADL2442779","57.7722","25.6422","www.fallingrain.com","664","2405","P000","tmcZMEm1300_111a"
"Astrakhan","RU","loc07-tmc050418","KZ","N tip of the Caspian Sea","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","48.049168","46.349445","ADL3470113","51.883331","47.116669","ADL2659226","274","624","P000","tmcZMEm1300_112a"
"loc07-tmc050418","KZ","Kunya Urgench","TM","N tip of the Caspian Sea","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","51.883331","47.116669","ADL2659226","59.166668","42.316666","ADL4127261","624","643","P000","tmcZMEm1300_113a"
"Kunya Urgench","TM","Khiva","UZ","route drawn near Kunya & Khiva; not through them","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","59.166668","42.316666","ADL4127261","60.366669","41.400002","ADL4229363","643","80","P002","tmcZMEm1300_114a"
"Khiva","UZ","Bukhara","UZ","route drawn near  Khiva; not through it","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","60.366669","41.400002","ADL4229363","64.416664","39.799999","adlgaz-1-4227756-36","80","232","P002","tmcZMEm1300_115a"
"Bukhara","UZ","Merv","TM","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","64.416664","39.799999","adlgaz-1-4227756-36","62.166668","37.616669","ADL4125737","232","620","P000","tmcZMEm1300_116a"
